t util pw mem
266.4 97 228.82 48320
267.5 100 323.32 48320
268.6 99 336.36 48320
269.7 99 345.14 48320
270.8 100 343.91 48320
271.9 95 222.00 48320
273.0 100 328.38 48320
274.1 100 336.87 48320
275.2 99 344.79 48320
276.3 99 343.77 48320
277.4 96 224.43 48320
278.5 100 327.85 48320
279.6 100 336.21 48320
280.7 99 345.93 48320
281.7 99 332.19 48320
282.8 95 235.92 48320
283.9 100 329.09 48320
285.0 100 336.96 48320
286.1 99 345.04 48320
287.2 99 330.30 48320
288.2 96 234.58 48320
289.3 100 329.07 48320
290.4 99 337.45 48320
291.5 100 346.14 48320
292.6 98 331.69 48320
293.6 95 232.98 48320
294.7 100 328.42 48320
295.8 100 336.66 48320
296.9 99 345.56 48320
297.9 99 332.91 48320
299.0 96 226.90 48320
300.1 100 327.80 48320
301.2 100 338.08 48320
302.3 100 343.80 48320
303.4 99 328.51 48320
304.4 95 240.16 48320
305.5 100 329.14 48320
306.6 100 338.00 48320
307.7 100 343.14 48320
308.8 99 326.14 48320
309.9 94 243.75 48320
310.9 100 332.80 48320
312.0 100 337.08 48320
313.1 100 343.62 48320
314.2 99 327.40 48320
315.3 95 232.85 48320
316.4 100 328.93 48320
317.4 99 336.20 48320
318.5 100 345.72 48320
319.6 99 314.38 48320
320.7 98 252.15 48320
321.8 100 330.17 48320
322.9 99 339.15 48320
324.0 100 345.76 48320
325.1 57 311.89 48320
326.2 95 255.91 48320
327.2 100 332.77 48320
328.3 100 338.68 48320
329.4 100 343.37 48320
330.5 1 295.06 48320
331.6 95 272.45 48320
332.7 100 329.33 48320
333.8 100 339.30 48320
334.8 99 344.30 48320
335.9 38 290.35 48320
337.0 94 258.79 48320
338.0 100 330.98 48320
339.1 100 337.89 48320
340.2 99 343.84 48320
341.3 0 289.10 48320
342.4 96 256.73 48320
343.5 100 329.68 48320
344.6 100 337.71 48320
345.7 100 343.98 48320
346.8 0 290.42 48320
347.8 94 274.73 48320
348.9 97 327.31 48320
350.0 99 343.12 48320
351.1 100 342.72 48320
352.2 0 275.24 48320
353.3 95 273.11 48320
354.4 97 326.05 48320
355.5 100 343.93 48320
356.5 100 343.27 48320
357.6 28 273.04 48320
358.7 94 283.37 48320
359.8 99 331.73 48320
360.9 100 344.02 48320
362.0 99 344.37 48320
363.1 43 273.33 48320
364.2 96 285.32 48320
365.3 99 334.63 48320
366.4 100 343.74 48320
367.5 100 344.06 48320
368.6 99 254.17 48320
369.7 96 302.88 48320
370.8 99 338.67 48320
371.8 99 344.46 48320
372.9 99 343.24 48320
374.0 98 243.47 48320
375.1 100 307.05 48320
376.2 100 336.24 48320
377.3 99 345.90 48320
378.4 100 343.35 48320
379.5 95 234.61 48320
380.6 100 315.30 48320
381.7 100 337.42 48320
382.8 99 342.74 48320
383.9 100 344.62 48320
385.0 97 232.11 48320
386.1 100 321.61 48320
387.2 99 337.23 48320
388.3 100 343.04 48320
389.4 100 344.16 48320
390.5 97 230.88 48320
391.5 100 320.97 48320
392.6 99 339.29 48320
393.7 100 343.57 48320
394.8 99 344.61 48320
395.9 98 227.18 48320
397.0 100 320.95 48320
398.0 99 337.26 48320
399.1 100 344.36 48320
400.2 100 343.92 48320
401.3 95 218.45 48320
402.4 100 327.90 48320
403.5 100 337.95 48320
404.6 100 342.67 48320
405.7 99 346.28 48320
406.8 80 222.77 48320
407.8 100 325.80 48320
408.9 100 336.44 48320
410.0 99 344.40 48320
411.1 100 345.67 48320
412.2 98 224.58 48320
413.3 100 325.52 48320
414.4 99 337.41 48320
415.4 99 344.68 48320
416.5 100 344.72 48320
417.6 98 225.46 48320
418.7 100 326.78 48320
419.8 100 337.27 48320
420.9 100 343.60 48320
422.0 99 344.17 48320
423.0 95 224.76 48320
