unix,raw
1789869946.2905629,2026/09/20 10:05:46.356, 100, 54, 325.13, 1755, 45651
1789869946.4906895,2026/09/20 10:05:46.553, 100, 48, 325.13, 1725, 45651
1789869946.6908216,2026/09/20 10:05:46.733, 100, 62, 327.89, 1755, 45651
1789869946.8909507,2026/09/20 10:05:46.956, 100, 57, 330.75, 1815, 45651
1789869947.0910866,2026/09/20 10:05:47.150, 100, 55, 334.85, 1770, 45651
1789869947.2912183,2026/09/20 10:05:47.315, 100, 56, 337.21, 1710, 45651
1789869947.491351,2026/09/20 10:05:47.575, 100, 56, 341.25, 1800, 45651
1789869947.6914876,2026/09/20 10:05:47.776, 100, 56, 343.03, 1815, 45651
1789869947.8916235,2026/09/20 10:05:47.955, 100, 57, 343.54, 1755, 45651
1789869948.0917006,2026/09/20 10:05:48.116, 100, 56, 344.06, 1725, 45651
1789869948.291837,2026/09/20 10:05:48.376, 100, 56, 345.01, 1785, 45651
1789869948.4919786,2026/09/20 10:05:48.517, 100, 59, 345.92, 1815, 45651
1789869948.6921113,2026/09/20 10:05:48.716, 100, 58, 346.29, 1800, 45651
1789869948.8922448,2026/09/20 10:05:48.916, 100, 58, 345.79, 1800, 45651
1789869949.0924027,2026/09/20 10:05:49.137, 100, 55, 345.73, 1815, 45651
1789869949.292538,2026/09/20 10:05:49.355, 26, 2, 309.19, 1950, 45651
1789869949.492619,2026/09/20 10:05:49.540, 0, 0, 290.73, 1950, 45651
1789869949.6928098,2026/09/20 10:05:49.736, 0, 0, 253.82, 1950, 45651
1789869949.8929458,2026/09/20 10:05:49.956, 84, 3, 201.05, 1950, 45651
1789869950.0930278,2026/09/20 10:05:50.175, 73, 2, 165.78, 1950, 45651
1789869950.2931635,2026/09/20 10:05:50.354, 75, 2, 149.01, 1950, 45651
1789869950.4933074,2026/09/20 10:05:50.537, 72, 2, 149.56, 1950, 45651
1789869950.693391,2026/09/20 10:05:50.738, 72, 2, 150.75, 1965, 45651
1789869950.8935328,2026/09/20 10:05:50.949, 74, 2, 152.68, 1965, 45651
1789869951.0936067,2026/09/20 10:05:51.136, 73, 2, 152.46, 1965, 45651
1789869951.2937355,2026/09/20 10:05:51.338, 74, 2, 152.42, 1965, 45651
